文件名,流派,平均亮度,平均饱和度,RMS对比度,颜色丰富度,鲜明度,区域平衡度,梯度平滑度,GLCM对比度,GLCM相关性,GLCM能量,GLCM同质性
1 (112).tif,现实主义,75.3121,25.9398,0.2318,127.6006,37.4526,17.2779,31.4021,1.7064,0.8794,0.2469,0.7213
1 (115).tif,现实主义,69.7852,23.9945,0.2466,32.2018,29.6994,15.2955,17.4126,0.9945,0.9263,0.2374,0.7784
1 (117).tif,现实主义,70.683,16.2267,0.2139,78.6145,26.2967,17.5286,5.5446,0.4239,0.9597,0.3207,0.8494
1 (118).tif,现实主义,66.9968,34.3043,0.1741,70.7273,32.0843,8.6648,16.0356,1.292,0.7982,0.2188,0.6935
1 (12).tif,现实主义,77.1731,11.8612,0.2377,33.8432,31.8825,19.7898,5.1996,0.3195,0.9793,0.3987,0.8819
1 (123).tif,现实主义,69.7679,33.3962,0.2171,174.4374,36.4695,12.1475,24.4986,1.8536,0.824,0.2055,0.6523
1 (124).tif,现实主义,54.5565,36.3962,0.3483,243.3507,28.4314,15.5688,29.4976,2.4028,0.8533,0.146,0.5978
1 (125).tif,现实主义,62.8662,26.413,0.1601,59.2873,22.9029,6.7888,12.9202,1.3833,0.7075,0.2301,0.6488
1 (127).tif,现实主义,76.3778,12.1767,0.212,135.0895,30.3101,18.9385,7.2138,0.4392,0.9635,0.3008,0.8561
1 (128).tif,现实主义,80.7426,14.6059,0.2242,80.5742,36.227,15.3318,20.201,0.9692,0.9354,0.3855,0.824
1 (129).tif,现实主义,77.9216,19.6474,0.1994,157.6932,36.3083,21.4465,12.8515,0.5696,0.9489,0.3355,0.8797
1 (13).tif,现实主义,81.7822,10.2388,0.1517,9.6911,33.6555,10.8694,5.1387,0.2731,0.9594,0.5273,0.9064
1 (130).tif,现实主义,69.8745,14.1965,0.2333,134.1608,25.9172,19.4735,8.1766,0.5103,0.9579,0.2888,0.8351
1 (133).tif,现实主义,62.7328,44.4433,0.2479,83.9003,36.7325,8.9944,23.3967,2.1157,0.8083,0.171,0.6069
1 (134).tif,现实主义,74.8279,34.462,0.214,190.0171,41.44,19.1446,16.2881,0.9506,0.9191,0.2485,0.7817
1 (135).tif,现实主义,75.3351,19.2332,0.1995,42.2186,30.8906,14.0942,13.556,0.9596,0.9019,0.301,0.7546
1 (136).tif,现实主义,63.6314,37.8205,0.2098,168.3621,31.4572,7.4509,24.2698,1.9151,0.7662,0.19,0.6338
1 (138).tif,现实主义,62.3841,32.5017,0.1707,132.0624,26.2468,6.918,11.2077,0.979,0.814,0.2405,0.7145
1 (139).tif,现实主义,73.8538,12.3675,0.3342,52.3055,33.0124,28.7013,10.0686,0.5266,0.9803,0.4761,0.8669
1 (140).tif,现实主义,48.5639,16.6739,0.2991,77.9501,15.6421,13.0389,10.2888,0.6776,0.9296,0.3287,0.8025
1 (141).tif,现实主义,67.7663,12.2465,0.2374,91.2327,23.8582,15.7436,4.5835,0.3167,0.973,0.2849,0.8764
1 (142).tif,现实主义,77.6586,8.5069,0.2054,20.4241,29.9355,10.7368,15.0169,0.5725,0.9511,0.3475,0.8869
1 (143).tif,现实主义,70.125,6.5492,0.3374,46.7568,29.2103,19.1863,12.3328,0.5396,0.9786,0.3561,0.8542
1 (145).tif,现实主义,79.2483,17.5523,0.2317,54.8453,35.7425,16.7018,11.1624,0.6566,0.9573,0.3568,0.8288
1 (15).tif,现实主义,74.3872,13.2166,0.2061,40.3621,28.3101,16.9927,5.2058,0.3499,0.9672,0.3573,0.8816
1 (19).tif,现实主义,75.1091,15.3777,0.1834,75.1758,28.9999,13.4741,8.5786,0.4361,0.9484,0.2907,0.8709
1 (20).tif,现实主义,77.5597,8.9864,0.1998,8.1712,29.5536,14.7154,5.7223,0.3058,0.9718,0.487,0.9069
1 (21).tif,现实主义,65.3546,7.9047,0.2498,11.9115,19.6107,9.3479,10.8314,0.6364,0.9456,0.2833,0.8304
1 (23).tif,现实主义,75.0531,6.6785,0.1887,21.4517,26.2883,11.0456,5.7334,0.3409,0.9629,0.311,0.8839
1 (24).tif,现实主义,72.7727,10.6306,0.2142,23.6722,25.6994,9.1173,9.522,0.5413,0.95,0.2833,0.8394
1 (25).tif,现实主义,75.976,7.1677,0.2117,29.8807,28.0823,13.2721,10.8198,0.4938,0.9569,0.4179,0.8736
1 (28).tif,现实主义,74.1902,10.0652,0.1789,12.4858,26.1229,14.2414,2.6052,0.197,0.9744,0.4159,0.9202
1 (29).tif,现实主义,70.268,15.5985,0.3085,58.8606,29.2008,12.9363,18.1581,0.9304,0.9545,0.2725,0.7974
1 (30).tif,现实主义,82.6873,7.9399,0.2243,32.534,36.4909,14.3421,13.8871,0.7737,0.9503,0.3775,0.8191
1 (31).tif,现实主义,67.9142,6.3991,0.2314,31.1584,21.0021,7.0978,5.1843,0.3664,0.9663,0.3323,0.8645
1 (32).tif,现实主义,70.8901,4.4639,0.2181,8.6783,22.8003,10.5843,11.3953,0.7118,0.935,0.2459,0.8047
1 (33).tif,现实主义,80.9922,9.4112,0.2206,127.7322,34.2969,16.6314,9.5214,0.4201,0.9695,0.4222,0.8843
1 (35).tif,现实主义,70.212,7.9111,0.2632,20.1351,24.1015,15.9794,7.7407,0.4026,0.9745,0.3779,0.8847
1 (36).tif,现实主义,85.1487,6.0856,0.1583,39.0897,36.0763,11.8649,7.8889,0.3633,0.9579,0.4474,0.8971
1 (37).tif,现实主义,82.7602,6.7644,0.179,39.663,34.3912,10.8128,10.873,0.5344,0.9528,0.3424,0.8658
1 (38).tif,现实主义,95.2161,1.6105,0.0989,3.5687,45.5979,4.7024,4.1341,0.1451,0.97,0.5936,0.9692
1 (40).tif,现实主义,95.4711,2.1209,0.1099,12.9134,46.0253,6.6101,12.5297,0.3998,0.9322,0.6397,0.9321
1 (41).tif,现实主义,83.3327,6.1171,0.197,27.2795,34.4191,9.9915,9.7269,0.4295,0.9678,0.3636,0.8944
1 (42).tif,现实主义,93.0586,2.0735,0.1688,13.6409,44.6496,9.0838,9.8906,0.3505,0.9721,0.6599,0.9357
1 (44).tif,现实主义,83.0866,9.6328,0.1951,75.0203,35.7146,8.6867,8.6512,0.3753,0.9723,0.3662,0.9005
1 (45).tif,现实主义,84.6691,5.7387,0.1946,14.9355,36.026,10.7783,6.5968,0.2911,0.9788,0.4487,0.9274
1 (47).tif,现实主义,87.3198,6.0017,0.1949,40.5732,39.0139,8.3229,8.1385,0.3216,0.9787,0.524,0.9331
1 (48).tif,现实主义,74.6568,14.9,0.2022,56.4115,29.2044,13.0474,8.6887,0.4818,0.9561,0.3598,0.8632
1 (5).tif,现实主义,76.9695,7.0421,0.2889,27.3635,31.1008,17.0643,5.8815,0.3243,0.9849,0.4699,0.8959
1 (50).tif,现实主义,69.2262,3.4956,0.1498,5.9463,19.873,6.9941,5.6493,0.3743,0.9264,0.341,0.8764
1 (51).tif,现实主义,73.0834,13.362,0.2313,42.011,28.1632,10.3096,13.7131,0.6845,0.9497,0.2542,0.8461
1 (52).tif,现实主义,66.5413,6.8591,0.2476,11.1796,18.4224,9.1679,8.1038,0.6243,0.9484,0.2796,0.7879
1 (55).tif,现实主义,84.4906,3.3326,0.2697,22.4348,37.6209,14.3733,11.3557,0.425,0.9836,0.5659,0.9052
1 (56).tif,现实主义,83.2462,3.3911,0.2123,8.5512,34.7907,11.7287,14.2862,0.6003,0.9609,0.4419,0.8755
1 (57).tif,现实主义,82.8169,4.8554,0.2096,22.6152,34.3214,11.4446,10.682,0.4397,0.9708,0.4026,0.8966
1 (58).tif,现实主义,72.5684,12.7998,0.26,48.5211,27.8061,18.2101,8.4056,0.4773,0.9719,0.3079,0.8603
1 (59).tif,现实主义,81.3743,6.1418,0.2082,8.9128,33.9082,15.2739,6.7344,0.2631,0.9784,0.6821,0.9326
1 (60).tif,现实主义,76.5829,3.6611,0.2243,12.7852,27.7377,15.7113,9.2985,0.4761,0.9649,0.3237,0.8629
1 (61).tif,现实主义,77.3868,8.8818,0.2421,35.8163,30.5369,11.6584,7.0082,0.3545,0.9808,0.4151,0.9054
1 (62).tif,现实主义,77.2295,10.4052,0.2307,30.7921,31.2481,11.8819,19.5584,0.9003,0.9387,0.2956,0.8201
1 (63).tif,现实主义,73.6546,8.2527,0.1807,20.6699,25.6129,11.4338,7.3502,0.4443,0.9452,0.3086,0.8595
1 (64).tif,现实主义,75.9228,14.9266,0.2654,101.8048,33.4309,17.096,5.2288,0.3061,0.985,0.3649,0.8965
1 (65).tif,现实主义,82.5552,6.2061,0.209,43.8061,35.6569,13.4663,14.2803,0.6247,0.9554,0.4273,0.8773
1 (66).tif,现实主义,68.3348,25.7776,0.1493,87.2753,27.4266,7.599,7.4821,0.8579,0.8231,0.2529,0.7243
1 (67).tif,现实主义,56.3007,27.6924,0.2991,178.0871,23.7461,8.7109,26.6731,2.2096,0.8278,0.1605,0.6052
1 (68).tif,现实主义,60.9004,17.6924,0.2063,50.4959,18.3552,7.9696,14.1853,1.2747,0.825,0.2261,0.6792
1 (7).tif,现实主义,50.4722,18.4762,0.2194,28.2374,14.0573,5.1575,10.3911,0.8908,0.8447,0.2732,0.7376
1 (70).tif,现实主义,54.781,35.7101,0.1682,54.2188,22.9474,9.9505,6.5597,0.5956,0.8528,0.319,0.7941
1 (73).tif,现实主义,62.9039,23.192,0.2416,85.5207,23.0396,6.7073,18.5076,1.4141,0.8655,0.1979,0.6743
1 (75).tif,现实主义,61.9255,26.5018,0.1862,96.4572,23.0011,8.2442,15.1951,1.3519,0.7796,0.2145,0.6717
1 (77).tif,现实主义,61.7855,16.2055,0.2466,50.1267,20.17,6.794,24.496,2.1205,0.801,0.1839,0.6181
1 (78).tif,现实主义,74.5793,19.9859,0.1266,23.8635,29.9391,5.9587,8.5347,0.705,0.8323,0.3825,0.7779
1 (79).tif,现实主义,66.358,21.9726,0.1548,38.9702,23.2267,4.4575,14.5409,1.3071,0.7336,0.2378,0.6868
1 (8).tif,现实主义,74.1721,10.4943,0.2662,38.2248,29.2251,10.8966,5.4929,0.2535,0.9853,0.3695,0.9229
1 (80).tif,现实主义,69.5186,11.8923,0.1965,97.1742,23.3586,15.5981,9.2912,0.5205,0.9391,0.2895,0.8329
1 (84).tif,现实主义,69.5419,28.3601,0.1426,56.9048,29.4973,4.6736,12.7242,1.0681,0.7694,0.2682,0.7118
1 (86).tif,现实主义,68.0232,34.35,0.2065,151.5631,34.4841,9.9145,20.2089,1.2839,0.8582,0.2156,0.7119
1 (87).tif,现实主义,68.164,20.5415,0.193,52.6534,25.0302,12.5243,7.2723,0.5755,0.9293,0.3214,0.8092
1 (88).tif,现实主义,83.9439,10.1384,0.2258,96.8325,38.828,19.3862,19.1143,0.9412,0.9372,0.5292,0.8199
1 (89).tif,现实主义,76.2364,23.2013,0.2027,137.6395,35.9618,13.6266,30.329,1.6465,0.848,0.2638,0.7206
1 (90).tif,现实主义,69.0988,29.0561,0.1821,54.3879,30.3486,5.6184,21.4585,1.8092,0.7517,0.1979,0.6288
1 (92).tif,现实主义,67.8609,25.2914,0.1639,39.7423,26.2101,6.458,8.4908,0.7568,0.8679,0.2557,0.7594
1 (93).tif,现实主义,67.2883,33.6096,0.1425,242.7839,30.7351,9.9759,9.3547,0.9165,0.7871,0.2551,0.721
1 (95).tif,现实主义,69.4267,36.4601,0.1607,61.9304,35.1213,7.4162,18.1141,1.6846,0.7084,0.2164,0.6372
1 (96).tif,现实主义,50.996,37.9243,0.4155,72.7893,29.3052,9.7046,33.7452,3.1259,0.8462,0.1268,0.5442
1 (97).tif,现实主义,73.7348,24.1902,0.1155,100.3146,31.4468,7.3323,12.5406,1.0052,0.7121,0.2984,0.7233
1 (98).tif,现实主义,62.0758,19.9531,0.2395,73.0263,21.6069,10.8543,22.4463,1.4792,0.8517,0.2174,0.703
20700元成交！王雪涛 《菊石图》市场分析_1_得鉴古～意更浓_来自小红书网页版.jpg,水墨文人画,87.8351,1.9555,0.1764,1.2532,38.1474,5.2738,20.7173,0.685,0.9332,0.6427,0.894
2e6a0fca977dbdc371fc95fc158d54de.jpg,水墨文人画,85.3555,7.9125,0.0566,0.7534,36.0441,1.1482,6.3297,0.392,0.7366,0.5862,0.8699
4c9dd0dd41c6368ca706cb87ab0a42fb.jpg,水墨文人画,85.865,6.816,0.0482,1.204,36.3555,1.3402,5.003,0.3244,0.7233,0.6427,0.8889
54dcab869ccc91584d0ca7be1038f459.jpg,水墨文人画,78.2191,6.2811,0.1287,1.7783,29.0007,3.8735,18.1489,0.6737,0.8559,0.7082,0.8872
_1_闲闲_来自小红书网页版.jpg,水墨文人画,87.163,8.1153,0.1251,2.4916,38.5053,3.2467,21.7526,0.6782,0.8677,0.7628,0.9197
ff66262aaf4d20094b168f311d3543fa.jpg,水墨文人画,84.9716,8.2016,0.0709,2.0093,35.7267,2.2061,7.8946,0.3974,0.8062,0.5667,0.8787
lQDPJw93ybrdNJXNH0DNCCOwHe4oe-8wB30JdxUxtkZ0AA_2083_8000.jpg,水墨文人画,80.0946,6.54,0.1347,1.3981,30.7169,3.9301,13.0474,0.606,0.8719,0.6152,0.8755
lQDPJwFBzx7BcyXNGxLND6qwB7vi-P7OiS4JdxDMmIGKAA_4010_6930.jpg,水墨文人画,84.799,7.8557,0.0676,1.0714,35.459,2.6835,3.7915,0.2822,0.8551,0.5395,0.8921
lQDPJwKuhEQ3IAXNF3DNB_Sw-JJQmXJ-ukIJd_WAs1jyAA_2036_6000.jpg,水墨文人画,85.159,8.8644,0.0522,1.1987,35.9998,1.3823,5.2321,0.3821,0.7123,0.5331,0.8668
lQDPJwNjgXgmexXNAu_NJxCwXWFnRrxvo4kJdxUlQ0lRAA_10000_751.jpg,水墨文人画,87.8196,6.6543,0.0569,0.3576,38.3125,1.3945,7.5436,0.4156,0.6573,0.8,0.919
lQDPJwR0Wr-TuVXNH0DNCy2wi-a3YN_zrioJdxUKZoUGAA_2861_8000.jpg,水墨文人画,80.6963,3.05,0.1541,3.7469,31.1111,3.1008,28.668,1.1083,0.8455,0.4837,0.8569
lQDPJwY7GiPYnFXNEvnNFnawO4myY6WCJf8JdxUNiEN7AA_5750_4857.jpg,水墨文人画,91.7613,6.3734,0.0649,1.51,42.176,2.2313,9.4422,0.4012,0.7946,0.5694,0.899
lQDPJwb6GIktABXNElnNB9CwlEBKr8hqkUUJdxUqi4l9AA_2000_4697.jpg,水墨文人画,75.9636,6.2715,0.0945,1.4657,26.4465,3.8143,9.4546,0.4962,0.8033,0.5381,0.858
lQDPJwdeI-prSiXNHn7NC7iw2SDcLJ8H4YgJdxC9vs_QAA_3000_7806.jpg,水墨文人画,81.3752,8.6087,0.1498,4.0915,32.7113,5.5697,10.9901,0.3995,0.9489,0.7099,0.9139
lQDPJxGZfAXjMJXNEy3NB9CwX5gk3gheCvkJdxUt6IweAA_2000_4909.jpg,水墨文人画,86.3879,11.4892,0.057,2.1543,37.7925,2.6859,5.2079,0.3182,0.7578,0.6582,0.8944
lQDPJxLr0TtTVAXNF3DNE6iwM7a5xjpQfC0Jd_WEuvE4AA_5032_6000.jpg,水墨文人画,88.1135,5.4699,0.0317,0.9802,38.4339,1.3396,2.1258,0.1458,0.6822,0.8035,0.9408
lQDPJxO8F0NLnAXNFynNC5mwUSn66G3BMgIJd_V8nLLUAA_2969_5929.jpg,水墨文人画,84.7303,6.7345,0.0601,1.3616,35.2063,2.5989,4.5564,0.3289,0.7954,0.5196,0.8773
lQDPJxO9ADBgxoXNC7jNBzawy1oIqiH1Y1kJd_WLLwHBAA_1846_3000.jpg,水墨文人画,88.7279,7.4663,0.0815,2.2581,39.4239,3.385,9.032,0.3438,0.8415,0.7744,0.9125
lQDPJxS51wm-g4XNDDTNDtywEa2946W6LWsJd_WHtjJyAA_3804_3124.jpg,水墨文人画,87.9195,10.4028,0.0509,1.411,39.0334,1.3393,6.7008,0.2838,0.7068,0.7927,0.9215
lQDPJxSgX8eww4XNC7jNB2mwt3q51xJ9AngJd_WIdE9kAA_1897_3000.jpg,水墨文人画,90.7063,6.5522,0.0549,4.7872,41.2229,1.7148,6.4147,0.2996,0.7177,0.743,0.8994
lQDPJxUm-satUhXNEQfNB9Cwqb_BNXPoEWkJdxUVsl2NAA_2000_4359.jpg,水墨文人画,83.6056,4.0424,0.1191,3.0536,33.8054,4.697,13.4235,0.6261,0.8537,0.4678,0.8481
lQDPJxYUW31xcoXNH0DNDwawOI4kMj13EFUJd_WGhfc7AA_3846_8000.jpg,水墨文人画,89.1004,9.8576,0.0851,6.5157,40.1167,3.3814,8.9663,0.3712,0.8423,0.6939,0.897
lQDPJxb_6sObUgXNFCLNCluwsWen0ko1CtUJd_WCkhM-AA_2651_5154.jpg,水墨文人画,86.9755,8.6011,0.0376,1.5869,37.7428,1.0125,2.4856,0.2048,0.7164,0.7111,0.9186
lQDPJxgHq7V-59XNH0DNDPawurMJ2fhaZRUJdxUE2ScmAA_3318_8000.jpg,水墨文人画,78.7649,3.2652,0.1406,1.3908,28.8972,4.7422,15.7744,0.7289,0.8824,0.446,0.8423
lQDPJxrWK8hbcRXNEETNB9Cw2xMtIFzrcOYJdxUUckrAAA_2000_4164.jpg,水墨文人画,75.864,8.8448,0.1327,7.3574,27.8623,3.0391,21.2356,0.8614,0.8277,0.4858,0.8539
lQDPJxvwHTxRDxXNF2PNDZCw2o-J841Kpm4JdxUSxGdNAA_3472_5987.jpg,水墨文人画,81.5117,9.3786,0.2071,9.7749,35.4874,9.2112,33.9636,1.0825,0.914,0.5996,0.8751
lQDPKGVJAHMsFYXNC7jNB0uwL7IB6L47es0Jd_WJ_PO3AA_1867_3000.jpg,水墨文人画,88.754,6.7853,0.0675,2.6151,39.2871,2.1613,5.9729,0.1992,0.8555,0.7577,0.9426
lQDPKH4kvFyAjRXNF3DNDhOwh4x7xZnoHQkJdxUQi11EAA_3603_6000.jpg,水墨文人画,84.9049,5.0327,0.0763,0.4641,35.2925,1.3338,12.8104,0.7203,0.6915,0.5386,0.8353
lQDPKHPOG1NQGlXNDFXNDxCwS35qRD-MKIYJdxULrdkrAA_3856_3157.jpg,水墨文人画,90.0531,10.5713,0.0771,4.385,41.3772,3.0714,9.4642,0.3378,0.8385,0.7431,0.9247
lQDPKHVX6ukKPQXNFDjNCS-wB3hhpdg1rUsJd_V-G2RoAA_2351_5176.jpg,水墨文人画,81.2949,9.7686,0.064,1.6388,32.3142,1.5155,5.5446,0.2511,0.7909,0.7847,0.9303
lQDPKHtNI-ZkEpXNGxLND6qw3H3LgH17hQIJdxUvtHFsAA_4010_6930.jpg,水墨文人画,84.7618,7.8325,0.0681,1.0452,35.418,2.7199,3.8213,0.2822,0.857,0.5396,0.8919
lQDPKciLvkPg9lXNF3DNC8uwykyhBvwDDEsJdxUHvqt0AA_3019_6000.jpg,水墨文人画,87.8706,4.4212,0.1301,1.5532,38.1629,3.9345,30.8663,1.3998,0.79,0.4969,0.7929
lQDPKdFtewmKXVXNEvLNFnaw7994TZ3xQcEJdxUO2RyOAA_5750_4850.jpg,水墨文人画,92.2129,5.9456,0.0641,2.7034,42.5993,3.0922,8.3676,0.4217,0.7742,0.6149,0.8851
【名家作品】郑板桥 竹_1_笙澜墨韵_来自小红书网页版.jpg,水墨文人画,84.4106,9.1638,0.1673,4.6785,36.7789,5.8657,52.7518,2.1581,0.7497,0.5965,0.7957
【名家作品】郑板桥 竹_2_笙澜墨韵_来自小红书网页版.jpg,水墨文人画,88.7005,6.6818,0.1346,3.3383,39.7596,3.2958,45.5046,2.0557,0.705,0.4896,0.768
【名家作品】郑板桥 竹_3_笙澜墨韵_来自小红书网页版.jpg,水墨文人画,83.1387,10.1483,0.2003,10.8141,36.4497,6.3304,50.1434,2.0751,0.8261,0.6259,0.8096
【名家作品】郑板桥 竹_4_笙澜墨韵_来自小红书网页版.jpg,水墨文人画,84.1622,10.3145,0.159,8.3925,36.8703,5.8352,38.1355,1.6623,0.7928,0.4979,0.7832
中国画-管道昇_2_我给艺术家看大门_来自小红书网页版.jpg,水墨文人画,84.6583,9.6693,0.0655,1.883,35.6611,2.6545,5.5519,0.3941,0.7841,0.5066,0.8622
中国画-管道昇_5_我给艺术家看大门_来自小红书网页版.jpg,水墨文人画,79.4592,13.26,0.1035,3.6863,31.4368,4.3534,7.4005,0.2706,0.9007,0.6901,0.9175
中国美术史—徐渭《墨葡萄图》_1_肆de头秃日常（学习ing）_来自小红书网页版.jpg,水墨文人画,87.6248,4.9131,0.1354,2.9369,38.4165,4.6285,24.9786,0.9396,0.8629,0.4699,0.86
元—顾安《竹石》系列 12 帧，收藏学习！_10_柳川书画_来自小红书网页版.jpg,水墨文人画,78.4649,11.8877,0.1055,2.9668,30.2899,2.9477,11.9938,0.5897,0.8173,0.5154,0.8535
元—顾安《竹石》系列 12 帧，收藏学习！_12_柳川书画_来自小红书网页版.jpg,水墨文人画,80.2209,13.2142,0.0945,7.1796,32.1382,3.1582,14.0714,0.5381,0.7834,0.7285,0.8867
元—顾安《竹石》系列 12 帧，收藏学习！_13_柳川书画_来自小红书网页版.jpg,水墨文人画,84.2017,10.5464,0.0891,3.8758,35.4873,2.9429,12.815,0.5976,0.8,0.5364,0.8414
元—顾安《竹石》系列 12 帧，收藏学习！_5_柳川书画_来自小红书网页版.jpg,水墨文人画,84.1257,13.6202,0.0842,4.2242,36.1054,3.2482,11.2387,0.5188,0.8095,0.5784,0.8793
元—顾安《竹石》系列 12 帧，收藏学习！_9_柳川书画_来自小红书网页版.jpg,水墨文人画,78.0456,10.2014,0.0788,4.0344,29.2091,3.3384,5.8563,0.339,0.8255,0.5087,0.8829
元代著名画家、鉴藏家——柯九思_1_丢丢_来自小红书网页版.jpg,水墨文人画,79.3453,11.9967,0.0841,4.3423,31.0031,3.1835,7.6947,0.3414,0.8357,0.6499,0.9002
元代著名画家、鉴藏家——柯九思_9_丢丢_来自小红书网页版.jpg,水墨文人画,81.3141,8.3974,0.1305,2.1554,32.7912,3.3259,18.5495,0.6609,0.872,0.579,0.881
換個角度，墨竹圖有驚喜_1_一直在台北_来自小红书网页版.jpg,水墨文人画,76.6812,15.9808,0.1159,17.0822,29.5099,5.6734,10.0157,0.4948,0.8781,0.5361,0.8693
李衎 四清图_7_古今堂前燕_来自小红书网页版.jpg,水墨文人画,85.2321,11.7704,0.0573,2.0378,36.7014,1.9803,4.458,0.3619,0.7419,0.5636,0.8766
李衎作品（三）_4_5_留得残荷听雨声_来自小红书网页版.jpg,水墨文人画,79.1344,8.8287,0.1453,3.753,30.8088,3.5029,29.9616,1.2705,0.777,0.6472,0.8177
李鱓 水墨兰竹_13_石头_来自小红书网页版.jpg,水墨文人画,82.8386,8.102,0.17,3.6202,35.2101,5.4769,23.9598,0.8354,0.9112,0.6526,0.8815
李鱓 水墨兰竹_15_石头_来自小红书网页版.jpg,水墨文人画,83.9307,7.8219,0.1759,3.5979,36.127,5.0763,35.4903,1.1449,0.8813,0.6735,0.8819
李鱓 水墨兰竹_17_石头_来自小红书网页版.jpg,水墨文人画,84.9342,8.2366,0.1197,2.5486,36.2566,3.0835,18.2555,0.641,0.8721,0.6831,0.8977
李鱓 水墨兰竹_2_石头_来自小红书网页版.jpg,水墨文人画,87.5118,8.0464,0.0686,1.9491,38.3913,1.1831,10.5546,0.3831,0.7863,0.7933,0.9374
李鱓 水墨兰竹_4_石头_来自小红书网页版.jpg,水墨文人画,86.9094,4.8244,0.1369,2.3997,37.4407,3.9809,26.3066,0.7591,0.8679,0.788,0.9135
李鱓 水墨兰竹_6_石头_来自小红书网页版.jpg,水墨文人画,83.8934,7.6317,0.1398,3.5202,35.3391,5.4259,25.2469,0.8253,0.8749,0.6821,0.8858
李鱓 水墨兰竹_8_石头_来自小红书网页版.jpg,水墨文人画,85.2414,8.0022,0.1225,2.588,36.5231,2.842,25.0989,0.8744,0.8309,0.6951,0.875
每天三分钟，人人都是艺术家（87）—柯九思_1_明昭_来自小红书网页版.jpg,水墨文人画,81.9394,11.3971,0.0918,3.2783,33.3915,2.2283,9.0156,0.3736,0.849,0.6502,0.8949
汪士慎 【墨梅册】_10_李超三国画分享_来自小红书网页版.jpg,水墨文人画,91.9373,4.1101,0.1105,1.3309,42.314,3.5344,27.0323,0.9218,0.808,0.7644,0.903
汪士慎 【墨梅册】_11_李超三国画分享_来自小红书网页版.jpg,水墨文人画,88.4493,5.009,0.1733,8.7793,39.7412,6.1043,56.3835,1.9229,0.8241,0.6854,0.8567
汪士慎 【墨梅册】_2_李超三国画分享_来自小红书网页版.jpg,水墨文人画,84.198,4.3812,0.1688,8.2627,34.9818,6.7227,39.1621,1.607,0.8298,0.3707,0.8036
汪士慎 【墨梅册】_3_李超三国画分享_来自小红书网页版.jpg,水墨文人画,94.4653,4.8491,0.0698,1.336,44.8311,1.4142,21.26,0.7533,0.6294,0.8751,0.9292
汪士慎 【墨梅册】_4_李超三国画分享_来自小红书网页版.jpg,水墨文人画,94.4668,4.9613,0.0787,2.7498,44.953,2.5754,23.7555,0.7181,0.72,0.9112,0.9508
汪士慎 【墨梅册】_5_李超三国画分享_来自小红书网页版.jpg,水墨文人画,94.1142,5.065,0.0818,4.1534,44.721,2.1434,30.7985,1.0304,0.6236,0.8522,0.9279
汪士慎 【墨梅册】_6_李超三国画分享_来自小红书网页版.jpg,水墨文人画,90.3673,4.5391,0.1403,2.7357,41.1508,2.7197,45.0661,1.599,0.7849,0.6928,0.8627
汪士慎 【墨梅册】_7_李超三国画分享_来自小红书网页版.jpg,水墨文人画,94.1579,4.4544,0.0901,4.1085,44.7315,2.0208,35.2368,1.1318,0.6574,0.8888,0.9316
汪士慎 【墨梅册】_8_李超三国画分享_来自小红书网页版.jpg,水墨文人画,93.1032,4.9248,0.1024,2.9076,43.6669,3.1523,30.3123,0.9922,0.7662,0.8565,0.9263
汪士慎 【墨梅册】_9_李超三国画分享_来自小红书网页版.jpg,水墨文人画,87.5314,4.3762,0.1573,6.9029,38.1253,7.5108,31.5848,1.1357,0.8746,0.6097,0.8558
沈周 策杖图_1_池兮 💦_来自小红书网页版.jpg,水墨文人画,83.7886,9.53,0.0684,1.3927,34.7845,1.5748,5.5664,0.4381,0.7574,0.4539,0.8402
郑板桥《兰竹图》_1_海滨世界美术博物馆_来自小红书网页版.jpg,水墨文人画,87.4941,11.0868,0.1109,3.644,39.0823,3.5669,21.2971,0.9186,0.7744,0.6403,0.8395
郑板桥的竹_3_小红薯6D17A9DB_来自小红书网页版.jpg,水墨文人画,91.263,2.117,0.1707,2.0219,43.2996,4.505,54.7664,1.7743,0.8391,0.818,0.9023
郑燮 竹石兰蕙图_1_室庐_来自小红书网页版.jpg,水墨文人画,87.8159,5.9724,0.1686,10.1593,39.7753,6.2541,52.1331,1.874,0.8227,0.5433,0.8447
郑燮《竹石图轴》.png,水墨文人画,92.4085,6.1344,0.0628,1.6015,42.8165,1.478,9.4834,0.4356,0.7649,0.6337,0.8866
陈立善《墨梅图》_1_觀隱艺术_来自小红书网页版 (1).jpg,水墨文人画,84.1605,10.1469,0.0541,3.1421,35.2997,1.0397,4.6155,0.2753,0.7232,0.7184,0.9094
0ffa61a744e8293df39b2af646390893.jpg,青绿山水画,85.9102,6.1437,0.0699,1.9471,36.3239,2.5399,4.7934,0.4717,0.6992,0.4578,0.8244
171b98ae6905ee5c7bb49fb86b8ded29.jpg,青绿山水画,79.6184,16.3637,0.0873,8.4446,32.4692,4.1631,2.9918,0.2796,0.8763,0.4618,0.8819
67ae1b58fac89905bdbca850b560c77b.jpg,青绿山水画,83.7882,5.4772,0.1014,5.736,34.1447,4.3963,10.3699,0.761,0.7472,0.4547,0.7919
83c508811b48570f73b0ebfc2ec2da34.jpg,青绿山水画,79.066,12.7031,0.1633,21.2907,31.9948,7.9308,33.6502,1.5937,0.802,0.4344,0.7982
